排名	排名变化	品牌	品牌价值（亿元人民币）	Chg	母公司	品牌价值占母公司市值比例	trade	city	
29	0	格力	700	0.52	格力	20%	家用电器	广东珠海	
30	28	双喜	695	2.09	双喜	12%	烟草	广东广州	
31	16	美团	660	1.32	美团点评	13%	生活服务	北京	
32	2	海天	615	0.76	海天	20%	食品饮料	广东佛山	
33	-8	万科	575	0.17	万科	18%	房地产	广东深圳	
34	15	拼多多	515	0.91	拼多多	20%	电子商务和零售	上海	
35	-11	交通银行	505	0.01	中国交通银行	11%	金融	上海	
36	55	抖音	500	2.85	字节跳动	10%	影视传媒	北京	
37	18	海底捞	480	1.04	海底捞	28%	餐饮	北京	
38	51	中国人保	475	2.52	中国人保	11%	金融	北京	
38	-7	太平洋保险	475	0.1	太平洋保险	14%	金融	上海	
40	-13	恒大	455	-0.05	恒大	18%	房地产	广东深圳	
41	4	网易	435	0.45	网易	16%	科技	广东广州	
42	1	碧桂园	430	0.41	碧桂园	19%	房地产	广东佛山	
43	-18	小米	425	-0.13	小米	20%	数码	北京	
44	35	陆金所	405	1.7	中国平安	2%	金融	上海	
45	-2	蒙牛	400	0.31	蒙牛	38%	食品饮料	内蒙古呼和浩特	
46	-8	兴业银行	390	0.16	兴业银行	10%	金融	福建福州	
46	-12	余额宝	390	0.11	蚂蚁金服	4%	金融	浙江杭州	
48	-10	中海	375	0.12	中海	14%	房地产	广东深圳	
48	-16	顺丰	375	-0.11	顺丰	25%	快递	广东深圳	
48	22	南京	375	1.03	南京	10%	烟草	江苏南京	
51	-10	浦东发展银行	345	0.06	浦东发展银行	10%	金融	上海	
51	28	国窖1573	345	1.3	泸州老窖	28%	酒类	四川泸州	
53	-33	今日头条	340	-0.43	字节跳动	6%	科技	北京	
